Municipios;Sexo;Periodo;Total
02003 Albacete;Ambos sexos;2019;39,48
02003 Albacete;Ambos sexos;2018;38,72
02003 Albacete;Ambos sexos;2017;38,28
02003 Albacete;Ambos sexos;2016;38,31
02003 Albacete;Ambos sexos;2015;37,63
02003 Albacete;Ambos sexos;2014;37,48
02003 Albacete;Hombres;2019;42,2
02003 Albacete;Hombres;2018;41,24
02003 Albacete;Hombres;2017;41
02003 Albacete;Hombres;2016;40,88
02003 Albacete;Hombres;2015;40,12
02003 Albacete;Hombres;2014;39,84
02003 Albacete;Mujeres;2019;36,73
02003 Albacete;Mujeres;2018;36,12
02003 Albacete;Mujeres;2017;35,59
02003 Albacete;Mujeres;2016;35,74
02003 Albacete;Mujeres;2015;35,11
02003 Albacete;Mujeres;2014;35,16
41004 Alcalá de Guadaíra;Ambos sexos;2019;40,3
41004 Alcalá de Guadaíra;Ambos sexos;2018;39,02
41004 Alcalá de Guadaíra;Ambos sexos;2017;38,13
41004 Alcalá de Guadaíra;Ambos sexos;2016;37,09
41004 Alcalá de Guadaíra;Ambos sexos;2015;37,25
41004 Alcalá de Guadaíra;Ambos sexos;2014;37,22
41004 Alcalá de Guadaíra;Hombres;2019;43,03
41004 Alcalá de Guadaíra;Hombres;2018;41,39
41004 Alcalá de Guadaíra;Hombres;2017;40,8
41004 Alcalá de Guadaíra;Hombres;2016;39,63
41004 Alcalá de Guadaíra;Hombres;2015;39,86
41004 Alcalá de Guadaíra;Hombres;2014;39,61
41004 Alcalá de Guadaíra;Mujeres;2019;37,41
41004 Alcalá de Guadaíra;Mujeres;2018;36,53
41004 Alcalá de Guadaíra;Mujeres;2017;35,38
41004 Alcalá de Guadaíra;Mujeres;2016;34,37
41004 Alcalá de Guadaíra;Mujeres;2015;34,54
41004 Alcalá de Guadaíra;Mujeres;2014;34,87
28005 Alcalá de Henares;Ambos sexos;2019;39,27
28005 Alcalá de Henares;Ambos sexos;2018;38,68
28005 Alcalá de Henares;Ambos sexos;2017;37,78
28005 Alcalá de Henares;Ambos sexos;2016;37,89
28005 Alcalá de Henares;Ambos sexos;2015;37,89
28005 Alcalá de Henares;Ambos sexos;2014;38,57
28005 Alcalá de Henares;Hombres;2019;41,94
28005 Alcalá de Henares;Hombres;2018;41,23
28005 Alcalá de Henares;Hombres;2017;40,26
28005 Alcalá de Henares;Hombres;2016;40,19
28005 Alcalá de Henares;Hombres;2015;40,34
28005 Alcalá de Henares;Hombres;2014;41,39
28005 Alcalá de Henares;Mujeres;2019;36,65
28005 Alcalá de Henares;Mujeres;2018;36,13
28005 Alcalá de Henares;Mujeres;2017;35,38
28005 Alcalá de Henares;Mujeres;2016;35,62
28005 Alcalá de Henares;Mujeres;2015;35,44
28005 Alcalá de Henares;Mujeres;2014;35,67
28006 Alcobendas;Ambos sexos;2019;41,06
28006 Alcobendas;Ambos sexos;2018;40
28006 Alcobendas;Ambos sexos;2017;39,21
28006 Alcobendas;Ambos sexos;2016;38,87
28006 Alcobendas;Ambos sexos;2015;37,82
28006 Alcobendas;Ambos sexos;2014;38,87
28006 Alcobendas;Hombres;2019;43,8
28006 Alcobendas;Hombres;2018;42,74
28006 Alcobendas;Hombres;2017;41,73
28006 Alcobendas;Hombres;2016;41,78
28006 Alcobendas;Hombres;2015;40,71
28006 Alcobendas;Hombres;2014;41,6
28006 Alcobendas;Mujeres;2019;37,99
28006 Alcobendas;Mujeres;2018;37,11
28006 Alcobendas;Mujeres;2017;36,71
28006 Alcobendas;Mujeres;2016;35,91
28006 Alcobendas;Mujeres;2015;34,95
28006 Alcobendas;Mujeres;2014;36,14
28007 Alcorcón;Ambos sexos;2019;40,46
28007 Alcorcón;Ambos sexos;2018;39,64
28007 Alcorcón;Ambos sexos;2017;39,53
28007 Alcorcón;Ambos sexos;2016;39,27
28007 Alcorcón;Ambos sexos;2015;38,27
28007 Alcorcón;Ambos sexos;2014;37,6
28007 Alcorcón;Hombres;2019;43,44
28007 Alcorcón;Hombres;2018;42,48
28007 Alcorcón;Hombres;2017;42,5
28007 Alcorcón;Hombres;2016;41,98
28007 Alcorcón;Hombres;2015;40,91
28007 Alcorcón;Hombres;2014;40,43
28007 Alcorcón;Mujeres;2019;37,34
28007 Alcorcón;Mujeres;2018;36,8
28007 Alcorcón;Mujeres;2017;36,76
28007 Alcorcón;Mujeres;2016;36,76
28007 Alcorcón;Mujeres;2015;35,83
28007 Alcorcón;Mujeres;2014;35,08
03009 Alcoy/Alcoi;Ambos sexos;2019;38,1
03009 Alcoy/Alcoi;Ambos sexos;2018;38,16
03009 Alcoy/Alcoi;Ambos sexos;2017;36,43
03009 Alcoy/Alcoi;Ambos sexos;2016;36,94
03009 Alcoy/Alcoi;Ambos sexos;2015;36,41
03009 Alcoy/Alcoi;Ambos sexos;2014;35,27
03009 Alcoy/Alcoi;Hombres;2019;40,29
03009 Alcoy/Alcoi;Hombres;2018;40,41
03009 Alcoy/Alcoi;Hombres;2017;38,59
03009 Alcoy/Alcoi;Hombres;2016;39,52
03009 Alcoy/Alcoi;Hombres;2015;39,03
03009 Alcoy/Alcoi;Hombres;2014;37,54
03009 Alcoy/Alcoi;Mujeres;2019;35,95
03009 Alcoy/Alcoi;Mujeres;2018;35,97
03009 Alcoy/Alcoi;Mujeres;2017;34,36
03009 Alcoy/Alcoi;Mujeres;2016;34,45
03009 Alcoy/Alcoi;Mujeres;2015;33,86
03009 Alcoy/Alcoi;Mujeres;2014;33,12
11004 Algeciras;Ambos sexos;2019;40,25
11004 Algeciras;Ambos sexos;2018;39,47
11004 Algeciras;Ambos sexos;2017;38,84
11004 Algeciras;Ambos sexos;2016;37,97
11004 Algeciras;Ambos sexos;2015;38,16
11004 Algeciras;Ambos sexos;2014;38,02
11004 Algeciras;Hombres;2019;43,05
11004 Algeciras;Hombres;2018;42,2
11004 Algeciras;Hombres;2017;41,52
11004 Algeciras;Hombres;2016;40,5
11004 Algeciras;Hombres;2015;40,77
11004 Algeciras;Hombres;2014;40,25
11004 Algeciras;Mujeres;2019;37,32
11004 Algeciras;Mujeres;2018;36,63
11004 Algeciras;Mujeres;2017;36,08
11004 Algeciras;Mujeres;2016;35,43
11004 Algeciras;Mujeres;2015;35,5
11004 Algeciras;Mujeres;2014;35,75
03014 Alicante/Alacant;Ambos sexos;2019;42,33
03014 Alicante/Alacant;Ambos sexos;2018;42,41
03014 Alicante/Alacant;Ambos sexos;2017;42,27
03014 Alicante/Alacant;Ambos sexos;2016;41,93
03014 Alicante/Alacant;Ambos sexos;2015;41,37
03014 Alicante/Alacant;Ambos sexos;2014;40,64
03014 Alicante/Alacant;Hombres;2019;45,4
03014 Alicante/Alacant;Hombres;2018;45,6
03014 Alicante/Alacant;Hombres;2017;45,44
03014 Alicante/Alacant;Hombres;2016;45,05
03014 Alicante/Alacant;Hombres;2015;44,42
03014 Alicante/Alacant;Hombres;2014;43,68
03014 Alicante/Alacant;Mujeres;2019;39,01
03014 Alicante/Alacant;Mujeres;2018;38,91
03014 Alicante/Alacant;Mujeres;2017;38,73
03014 Alicante/Alacant;Mujeres;2016;38,54
03014 Alicante/Alacant;Mujeres;2015;38,17
03014 Alicante/Alacant;Mujeres;2014;37,43
04013 Almería;Ambos sexos;2019;41,42
04013 Almería;Ambos sexos;2018;40,59
04013 Almería;Ambos sexos;2017;39,7
04013 Almería;Ambos sexos;2016;39,64
04013 Almería;Ambos sexos;2015;38,65
04013 Almería;Ambos sexos;2014;38,67
04013 Almería;Hombres;2019;43,94
04013 Almería;Hombres;2018;43,27
04013 Almería;Hombres;2017;42,8
04013 Almería;Hombres;2016;42,76
04013 Almería;Hombres;2015;41,58
04013 Almería;Hombres;2014;41,84
04013 Almería;Mujeres;2019;38,71
04013 Almería;Mujeres;2018;37,64
04013 Almería;Mujeres;2017;36,47
04013 Almería;Mujeres;2016;36,22
04013 Almería;Mujeres;2015;35,48
04013 Almería;Mujeres;2014;35,38
28013 Aranjuez;Ambos sexos;2019;41,31
28013 Aranjuez;Ambos sexos;2018;41,2
28013 Aranjuez;Ambos sexos;2017;39,56
28013 Aranjuez;Ambos sexos;2016;38,53
28013 Aranjuez;Ambos sexos;2015;37,69
28013 Aranjuez;Ambos sexos;2014;37,79
28013 Aranjuez;Hombres;2019;43,52
28013 Aranjuez;Hombres;2018;43,47
28013 Aranjuez;Hombres;2017;42,17
28013 Aranjuez;Hombres;2016;41,27
28013 Aranjuez;Hombres;2015;40,11
28013 Aranjuez;Hombres;2014;40,08
28013 Aranjuez;Mujeres;2019;38,91
28013 Aranjuez;Mujeres;2018;38,76
28013 Aranjuez;Mujeres;2017;36,75
28013 Aranjuez;Mujeres;2016;35,64
28013 Aranjuez;Mujeres;2015;35,21
28013 Aranjuez;Mujeres;2014;35,42
28014 Arganda del Rey;Ambos sexos;2019;39,53
28014 Arganda del Rey;Ambos sexos;2018;38,61
28014 Arganda del Rey;Ambos sexos;2017;37,46
28014 Arganda del Rey;Ambos sexos;2016;35,91
28014 Arganda del Rey;Ambos sexos;2015;35,36
28014 Arganda del Rey;Ambos sexos;2014;35,27
28014 Arganda del Rey;Hombres;2019;42,64
28014 Arganda del Rey;Hombres;2018;41
28014 Arganda del Rey;Hombres;2017;39,48
28014 Arganda del Rey;Hombres;2016;37,26
28014 Arganda del Rey;Hombres;2015;37,48
28014 Arganda del Rey;Hombres;2014;36,85
28014 Arganda del Rey;Mujeres;2019;36,11
28014 Arganda del Rey;Mujeres;2018;36,05
28014 Arganda del Rey;Mujeres;2017;35,37
28014 Arganda del Rey;Mujeres;2016;34,58
28014 Arganda del Rey;Mujeres;2015;33,17
28014 Arganda del Rey;Mujeres;2014;33,77
38006 Arona;Ambos sexos;2019;43,27
38006 Arona;Ambos sexos;2018;43,75
38006 Arona;Ambos sexos;2017;43,08
38006 Arona;Ambos sexos;2016;43,06
38006 Arona;Ambos sexos;2015;41,85
38006 Arona;Ambos sexos;2014;42,95
38006 Arona;Hombres;2019;46,26
38006 Arona;Hombres;2018;46,92
38006 Arona;Hombres;2017;45,86
38006 Arona;Hombres;2016;46,34
38006 Arona;Hombres;2015;45,54
38006 Arona;Hombres;2014;46,55
38006 Arona;Mujeres;2019;39,28
38006 Arona;Mujeres;2018;39,73
38006 Arona;Mujeres;2017;39,37
38006 Arona;Mujeres;2016;39,1
38006 Arona;Mujeres;2015;37,01
38006 Arona;Mujeres;2014;38,05
35004 Arrecife;Ambos sexos;2019;42,87
35004 Arrecife;Ambos sexos;2018;41,78
35004 Arrecife;Ambos sexos;2017;42,02
35004 Arrecife;Ambos sexos;2016;41,7
35004 Arrecife;Ambos sexos;2015;40,75
35004 Arrecife;Ambos sexos;2014;40,29
35004 Arrecife;Hombres;2019;46,31
35004 Arrecife;Hombres;2018;45,32
35004 Arrecife;Hombres;2017;45,06
35004 Arrecife;Hombres;2016;44,95
35004 Arrecife;Hombres;2015;43,93
35004 Arrecife;Hombres;2014;43,59
35004 Arrecife;Mujeres;2019;38,37
35004 Arrecife;Mujeres;2018;37,48
35004 Arrecife;Mujeres;2017;38,32
